# Time-averaged data for fix myFixMSD2
# TimeStep c_myMSD[1] c_myMSD[2] c_myMSD[3] c_myMSD[4]
1400000 265.716 264.652 256.398 786.767
1410000 267.975 264.964 256.677 789.616
1420000 268.026 264.217 256.312 788.555
1430000 267.613 263.861 256.067 787.541
1440000 266.299 262.43 256.575 785.304
1450000 265.946 264.532 256.207 786.684
1460000 266.841 264.919 257.549 789.309
1470000 269.008 266.39 257.598 792.996
1480000 270.082 267.638 258.94 796.66
1490000 271.931 268.425 259.485 799.842
1500000 271.825 269.157 260.603 801.584
1510000 271.968 269.043 261.794 802.805
1520000 273.507 268.726 261.658 803.891
1530000 273.725 270.417 263.462 807.604
1540000 274.665 269.869 264.854 809.388
1550000 276.119 270.065 266.936 813.119
1560000 277.304 271.451 267.883 816.638
1570000 277.407 271.715 269.544 818.666
1580000 277.653 272.992 270.528 821.173
1590000 279.058 273.461 270.648 823.167
1600000 278.39 274.173 272.377 824.939
1610000 279.813 276.255 272.393 828.461
1620000 280.722 277.97 272.396 831.088
1630000 280.496 280.551 273.708 834.756
1640000 281.523 279.313 273.635 834.471
1650000 280.668 281.579 274.439 836.686
1660000 282.872 282.498 274.716 840.086
1670000 283.688 284.624 275.694 844.006
1680000 282.772 285.102 276.472 844.346
1690000 283.841 286.808 276.413 847.063
1700000 285.359 286.235 277.486 849.08
1710000 286.365 286.324 277.583 850.271
1720000 286.332 287.573 278.69 852.595
1730000 287.096 288.719 280.687 856.502
1740000 286.817 291.329 279.61 857.756
1750000 286.483 293.672 280.445 860.6
1760000 286.89 294.185 280.34 861.414
1770000 285.282 295.073 280.26 860.615
1780000 284.438 297.067 281.339 862.845
1790000 285.349 297.566 282.276 865.192
1800000 285.652 299.871 284.583 870.107
1810000 286.096 300.48 287.155 873.732
1820000 287.504 301.407 286.283 875.194
1830000 288.645 303.912 286.917 879.474
1840000 289.086 303.301 288.103 880.49
1850000 288.812 304.909 289.673 883.394
1860000 290.582 306.845 289.854 887.281
1870000 291.931 306.818 290.958 889.707
1880000 292.551 307.171 292.725 892.447
1890000 294.139 306.511 292.62 893.27
1900000 294.342 308.637 293.933 896.911
1910000 295.961 310.116 295.018 901.095
1920000 295.962 309.12 296.492 901.574
1930000 296.641 309.285 297.401 903.327
1940000 298.094 310.236 298.668 906.998
1950000 297.95 310.606 300.339 908.895
1960000 299.65 312.138 302.04 913.828
1970000 300.486 312.573 303.264 916.323
1980000 302.387 313.82 304.496 920.703
1990000 303.251 314.052 305.707 923.01
2000000 304.125 314.76 306.304 925.189
2010000 304.432 315.111 307.576 927.119
2020000 304.71 315.19 308.576 928.476
2030000 306.009 315.726 310.94 932.675
2040000 306.304 314.97 309.775 931.049
2050000 307.433 316.774 310.422 934.63
2060000 309.001 316.139 310.835 935.975
2070000 309.519 316.199 311.342 937.059
2080000 311.036 317.115 311.365 939.515
2090000 311.9 319.247 310.903 942.05
2100000 312.658 319.998 311.945 944.601
2110000 312.389 318.633 311.206 942.227
2120000 312.869 319.627 309.766 942.262
2130000 313.066 322.743 311.153 946.961
2140000 315.606 323.643 313.367 952.616
2150000 316.127 324.865 314.563 955.555
2160000 316.789 325.121 314.866 956.776
2170000 319.434 326.321 314.328 960.084
2180000 320.779 328.741 315.285 964.806
2190000 319.987 330.058 316.751 966.797
2200000 322.682 331.538 318.2 972.42
2210000 322.313 330.389 318.022 970.723
2220000 325.191 328.475 320.064 973.73
2230000 325.803 330.303 321.483 977.589
2240000 326.876 330.739 321.305 978.921
2250000 328.002 330.84 321.315 980.157
2260000 330.33 330.925 323.378 984.633
2270000 330.97 331.769 324.458 987.197
2280000 330.666 334.729 325.118 990.513
2290000 333.289 335.685 326.853 995.827
2300000 332.955 336.675 326.234 995.864
2310000 332.808 336.362 326.259 995.429
2320000 332.846 336.481 327.42 996.747
2330000 332.657 338.135 328.39 999.181
2340000 332.791 339.737 328.636 1001.16
2350000 333.766 340.3 330.482 1004.55
2360000 334.197 340.834 331.95 1006.98
2370000 334.636 340.24 332.716 1007.59
2380000 335.524 341.775 334.119 1011.42
2390000 338.219 343.479 333.389 1015.09
2400000 337.747 345.047 334.561 1017.35
2410000 339.438 345.404 334.03 1018.87
2420000 339.648 346.67 333.962 1020.28
2430000 341.694 347.639 334.017 1023.35
2440000 342.46 347.654 333.645 1023.76
2450000 343.591 348.077 336.308 1027.98
2460000 345.154 348.347 336.599 1030.1
2470000 346.117 348.887 337.092 1032.1
2480000 346.199 349.215 336.805 1032.22
2490000 346.483 349.89 336.652 1033.03
2500000 346.938 349.516 338.651 1035.1
2510000 347.04 350.485 338.926 1036.45
2520000 348.453 350.427 340.124 1039
2530000 349.151 352.188 339.837 1041.18
2540000 349.336 352.026 340.807 1042.17
2550000 350.043 351.857 342 1043.9
2560000 349.914 352.158 343.72 1045.79
2570000 351.566 352.67 344.698 1048.93
2580000 352.769 353.61 344.501 1050.88
2590000 352.976 354.176 344.309 1051.46
2600000 356.315 353.336 344.662 1054.31
2610000 357.913 353.811 344.532 1056.26
2620000 356.727 354.052 346.343 1057.12
2630000 356.933 355.144 348.143 1060.22
2640000 358.063 357.641 347.809 1063.51
2650000 358.504 356.895 348.475 1063.87
2660000 360.425 356.513 347.057 1064
2670000 359.487 358.729 347.42 1065.64
2680000 357.892 358.059 346.11 1062.06
2690000 357.236 358.36 345.601 1061.2
2700000 357.252 358.374 345.273 1060.9
2710000 359.235 359.656 346.602 1065.49
2720000 358.509 358.853 347.438 1064.8
2730000 359.392 360.203 348.841 1068.44
2740000 360.57 360.489 350.091 1071.15
2750000 362.3 360.215 350.452 1072.97
2760000 364.084 360.501 351.237 1075.82
2770000 365.764 360.264 352.136 1078.16
2780000 366.481 360.785 353.306 1080.57
2790000 366.682 362.006 353.634 1082.32
2800000 365.405 363.798 354.358 1083.56
2810000 364.626 365.077 353.078 1082.78
2820000 366.108 367.04 353.07 1086.22
2830000 366.757 367.928 351.92 1086.6
2840000 366.108 369.082 350.353 1085.54
2850000 364.892 369.649 351.411 1085.95
2860000 366.434 372.425 351.512 1090.37
2870000 367.905 372.764 354.511 1095.18
2880000 367.886 374.62 354.543 1097.05
2890000 366.99 376.664 355.284 1098.94
2900000 366.301 379.106 355.85 1101.26
2910000 367.037 380.339 355.816 1103.19
2920000 368.112 381.653 357.817 1107.58
2930000 367.745 382.399 356.982 1107.13
2940000 368.414 382.805 356.497 1107.72
2950000 367.932 384.16 357.908 1110
2960000 368.347 384.165 359.799 1112.31
2970000 370.187 383.344 359.107 1112.64
2980000 370.963 382.492 358.558 1112.01
2990000 371.657 382.718 359.575 1113.95
3000000 371.488 383.678 360.172 1115.34
3010000 371.778 384.02 361.132 1116.93
3020000 372.416 383.925 361.811 1118.15
3030000 373.136 385.218 362.586 1120.94
3040000 372.047 386.316 364.886 1123.25
3050000 373.372 386.228 366.676 1126.28
3060000 374.892 386.877 367.715 1129.48
3070000 376.268 386.654 365.917 1128.84
3080000 376.382 387.84 366.067 1130.29
3090000 376.663 387.936 365.713 1130.31
3100000 378.194 388.676 365.352 1132.22
3110000 378.501 387.24 366.118 1131.86
3120000 378.06 389.794 368.475 1136.33
3130000 378.263 389.997 369.141 1137.4
3140000 379.266 391.124 368.477 1138.87
3150000 379.037 390.629 368.695 1138.36
3160000 379.314 392.419 369.675 1141.41
3170000 379.304 393.014 369.599 1141.92
3180000 379.217 393.028 368.271 1140.52
3190000 380.907 392.364 368.913 1142.18
3200000 381.721 394.03 369.487 1145.24
3210000 383.211 394.546 369.627 1147.38
3220000 382.354 393.556 368.703 1144.61
3230000 382.317 394.92 368.445 1145.68
3240000 383.962 394.701 370.62 1149.28
3250000 383.656 395.359 370.175 1149.19
3260000 382.712 396.878 369.856 1149.45
3270000 383.738 397.328 368.924 1149.99
3280000 384.063 397.143 369.324 1150.53
3290000 384.843 397.435 368.295 1150.57
3300000 384.403 398.422 367.859 1150.68
3310000 385.656 400.208 367.899 1153.76
3320000 384.831 401.618 368.871 1155.32
3330000 384.158 401.092 368.671 1153.92
3340000 382.73 400.081 368.967 1151.78
3350000 384.105 401.446 370.717 1156.27
3360000 384.597 401.63 371.046 1157.27
3370000 386.354 402.313 371.583 1160.25
3380000 386.355 401.432 370.231 1158.02
3390000 385.935 402.444 372.354 1160.73
3400000 386.338 403.543 372.402 1162.28
3410000 387.326 403.315 371.836 1162.48
3420000 386.091 404.058 371.772 1161.92
3430000 387.256 404.873 372.399 1164.53
3440000 387.255 405.94 371.17 1164.37
3450000 386.793 405.798 372.873 1165.46
3460000 387.403 405.769 373.831 1167
3470000 388.183 407.04 374.318 1169.54
3480000 388.6 408.91 373.199 1170.71
3490000 389.349 408.891 373.796 1172.04
3500000 389.301 408.503 375.241 1173.04
3510000 390.374 409.631 375.755 1175.76
3520000 392.277 409.835 377.033 1179.14
3530000 393.549 410.721 378 1182.27
3540000 393.898 411.963 378.454 1184.32
3550000 394.313 410.758 378.565 1183.64
3560000 393.556 411.486 377.409 1182.45
3570000 395.729 410.341 377.937 1184.01
3580000 395.534 411.028 379.512 1186.07
3590000 396.475 411 379.105 1186.58
3600000 398.193 411.179 378.718 1188.09
3610000 398.469 412.879 380.845 1192.19
3620000 399.007 413.817 381.458 1194.28
3630000 399.509 416.175 381.068 1196.75
3640000 399.381 418.18 382.535 1200.1
3650000 399.925 419.859 384.01 1203.79
3660000 401.003 420.737 385.467 1207.21
3670000 401.969 419.74 385.608 1207.32
3680000 403.05 420.798 385.625 1209.47
3690000 402.904 420.518 386.373 1209.8
3700000 403.483 421.298 385.544 1210.32
3710000 403.824 421.628 386.491 1211.94
3720000 404.943 419.785 388.865 1213.59
3730000 406.621 419.451 388.12 1214.19
3740000 406.397 420.781 387.798 1214.98
3750000 406.44 421.398 388.349 1216.19
3760000 406.349 422.315 388.88 1217.54
3770000 406.937 422.706 390.663 1220.31
3780000 408.141 421.535 391.86 1221.54
3790000 408.673 422.403 394.245 1225.32
3800000 409.699 422.492 394.223 1226.41
3810000 409.862 423.475 395.596 1228.93
3820000 411.167 421.763 393.409 1226.34
3830000 412.98 422.522 393.741 1229.24
3840000 414.009 423.289 394.295 1231.59
3850000 414.252 423.233 394.197 1231.68
3860000 415.546 421.992 395.274 1232.81
3870000 417.118 421.526 393.832 1232.48
3880000 417.108 422.769 393.66 1233.54
3890000 417.14 422.796 392.27 1232.21
3900000 416.361 422.785 391.523 1230.67
3910000 417.388 424.696 390.682 1232.77
3920000 418.123 425.964 390.567 1234.65
3930000 418.639 425.506 390.821 1234.97
3940000 419.039 425.316 390.015 1234.37
3950000 420.581 424.735 390.422 1235.74
3960000 420.365 424.242 390.569 1235.18
3970000 423.022 422.474 392.63 1238.13
3980000 424.228 422.176 393.828 1240.23
3990000 424.431 423.316 394.969 1242.72
4000000 423.379 423.91 395.281 1242.57
4010000 421.209 422.971 395.38 1239.56
4020000 422.977 424.002 395.792 1242.77
4030000 423.362 424.129 396.907 1244.4
4040000 424.13 425.299 395.853 1245.28
4050000 426.118 425.744 396.67 1248.53
4060000 425.994 425.48 396.736 1248.21
4070000 426.678 425.948 396.072 1248.7
4080000 424.739 427.527 397.254 1249.52
4090000 424.55 429.167 398.379 1252.1
4100000 424.489 429.864 398.316 1252.67
4110000 424.689 430.028 398.494 1253.21
4120000 426.131 430.825 400.446 1257.4
4130000 427.209 430.97 402.298 1260.48
4140000 427.64 431.448 403.318 1262.41
4150000 429.286 432.666 404.133 1266.08
4160000 429.293 432.05 403.596 1264.94
4170000 428.829 432.208 403.417 1264.45
4180000 429.307 433.205 402.013 1264.52
4190000 429.874 435.432 402.353 1267.66
4200000 428.55 436.283 403.124 1267.96
4210000 429.665 437.111 402.463 1269.24
