# Time-averaged data for fix myfixReac
# TimeStep f_4[1] f_4[2] f_4[3] f_4[4]
368000 20 12 40 45
369000 20 12 40 45
370000 20 12 40 45
371000 20 12 40 45
372000 20 12 40.06 45
373000 20 12 41 45.95
374000 20 12 41 46
375000 20 12 41 46
376000 20 12 41 46
377000 20 12 41.84 46
378000 20 12 42 46
379000 20 12 42.02 46
380000 20 12 43 46
381000 20 12 43 46
382000 20 12 43 46
383000 20 12 43 46
384000 20 12 43 46
385000 20 12 43 46
386000 20 12 43 46
387000 20 12 43 46
388000 20 12 43 46.92
389000 20 12 43.85 47
390000 20 12 44 47
391000 20.17 12 44 47
392000 21 12 44.8 47
393000 21 12 45 47.25
394000 21 12 45 48
395000 21 12 45 48
396000 21 12 45 48
397000 21 12 45 48
398000 21 12 45 48.8
399000 21 12 45 49
400000 21 12 45 49
401000 21 12 45 49
402000 21 12 45 49
403000 21 12 45 49.79
404000 21 12 45 50
405000 21 12 45 50
406000 21 12 45 50
407000 21 12 45 50
408000 21 12 45 50
409000 21 12 45 50
410000 21 12 45 50
411000 21 12 45 50
412000 21 12 45.71 50
413000 21 12 46 50
414000 21 12 46 50
415000 21 12 46 50
416000 21 12 46 50
417000 21 12 46 50.69
418000 21 12 46 51
419000 21 12 46 51
420000 21 12 46 51.51
421000 21 12 46 52
422000 21 12 46 52
423000 21 12 46 52
424000 21 12 46 52
425000 21 12 46 52
426000 21 12 46 52
427000 21 12 46 52
428000 21 12 46 52
429000 21 12 46 52
430000 21 12 46.38 52
431000 21 12 47 52.98
432000 21 12 47 53
433000 21 12 47 53
434000 21 12 47 53
435000 21 12 47 53
436000 21 12 47 53
437000 21 12 47 53
438000 21 12 47.85 53
439000 21 12 48 53
440000 21 12 48 53
441000 21 12 48 53
442000 21 12 48 53
443000 21.46 12 48 53
444000 22 12 48 53
445000 22 12 48.02 53
446000 22 12 49 53
447000 22 12 49 53.86
448000 22 12 49.67 54.41
449000 22 12 50 55
450000 22 12 50 55.85
451000 22 12 50 57
452000 22 12 50 57
453000 22 12 50 57
454000 22 12 50 57.68
455000 22 12 50 58
456000 22 12 50 58
457000 22 12 50 58
458000 22 12 50 58
459000 22 12 50 58
460000 22 12 50 58
461000 22 12 50 58
462000 22 12 50 58
463000 22 12 50 58
464000 22 12 50 58
465000 22 12 50 58
466000 22 12 50 58
467000 22 12 50 58
468000 22 12 50 58
469000 22 12 50 58.15
470000 22 12 50 59.38
471000 22 12 50 60
472000 22 12 50 60
473000 22 12 50 60.06
474000 22 12 50 61.98
475000 22 12 50 62
476000 22 12 50.14 62.35
477000 22 12 51.02 63
478000 22 12 52 63
479000 22 12 52 63
480000 22 12 52.19 63
481000 22 12 53 63
482000 22 12 53 63
483000 22 12 53 63
484000 22 12 53 63
485000 22 12 53 63
486000 22 12 53 63
487000 22 12 53 63.04
488000 22 12 53 64
489000 22 12 53 64
490000 22 12 53 64
491000 22 12 53 64
492000 22 12 53 64
493000 22 12 53 64
494000 22 12 53.8 64
495000 22 12 54 64
496000 22 12 54 64
497000 22 12 54.86 64
498000 22 12 55 64
499000 22 12 55 64.7
500000 22 12 55 65
501000 22 12 55.52 65
502000 22 12 56 65
503000 22 12 56 65.88
504000 22 12 56 66
505000 22 12 56 66
506000 22 12 56 66
507000 22 12 56 66
508000 22 12 56 66.73
509000 22 12 56 68
510000 22 12 56 68
511000 22 12 56 68
512000 22 12 56 68
513000 22 12 56 68
514000 22 12 56 68
515000 22 12 56 68
516000 22 12 56 68
517000 22 12 56.47 68
518000 22 12 57 68
519000 22 12 57 68
520000 22 12 57 68
521000 22 12 57 68
522000 22 12 57 68
523000 22 12 57 68
524000 22 12 57.04 68
525000 22 12 58 68
526000 22 12 58 68
527000 22 12 58 68
528000 22 12 58 68
529000 22 12 58 68.17
530000 22 12 58.72 69
531000 22 12 59 69
532000 22 12 59 69
533000 22 12 59 69
534000 22 12 59 69
535000 22 12 59 70.82
536000 22 12 59.64 71.74
537000 22 12 60 72
538000 22 12 60 72
539000 22 12 60 72
540000 22 12 60 72
541000 22 12 60 72
542000 22 12 60 72.71
543000 22 12 60.78 73
544000 22 12 61 73
545000 22 12 61 73
546000 22 12 61.8 73
547000 22 12 62.87 73
548000 22 12 63 73
549000 22 12 63 73
550000 22 12 63 73
551000 22 12 63 73
552000 22 12 63 73
553000 22 12 63 73
554000 22 12 63 73.97
555000 22 12 63.32 74
556000 22 12 64 74
557000 22 12 64 74
558000 22 12 64 74
559000 22 12 64 74
560000 22 12 64 74.73
561000 22 12 64 75
562000 22 12 64 75.28
