# Time-averaged data for fix myfixpe
# TimeStep c_pe[0]
1382000 107.569
1383000 99.4353
1384000 103.082
1385000 101.597
1386000 100.558
1387000 99.9433
1388000 88.5963
1389000 97.2009
1390000 92.1286
1391000 88.631
1392000 87.8692
1393000 86.4551
1394000 79.58
1395000 78.1524
1396000 85.3183
1397000 81.0636
1398000 84.0907
1399000 83.5424
1400000 88.2081
1401000 87.5198
1402000 91.3122
1403000 87.2215
1404000 88.4921
1405000 92.5839
1406000 87.972
1407000 85.5959
1408000 75.1683
1409000 81.1946
1410000 79.5697
1411000 79.5833
1412000 78.9577
1413000 82.2522
1414000 71.8416
1415000 79.6517
1416000 75.4655
1417000 75.4645
1418000 85.4291
1419000 81.6832
1420000 83.3542
1421000 87.1066
1422000 87.6834
1423000 86.5974
1424000 85.5652
1425000 84.8397
1426000 82.1296
1427000 82.4934
1428000 88.2381
1429000 86.206
1430000 89.3855
1431000 90.4294
1432000 86.227
1433000 95.578
1434000 96.7804
1435000 97.6636
1436000 98.15
1437000 93.2382
1438000 89.7079
1439000 96.5061
1440000 91.1772
1441000 99.0873
1442000 95.8771
1443000 98.4007
1444000 108.174
1445000 102.55
1446000 108.103
1447000 103.804
1448000 98.5401
1449000 99.5295
1450000 97.9949
1451000 105.579
1452000 108.101
1453000 107.133
1454000 112.045
1455000 108.916
1456000 107.929
1457000 105.468
1458000 104.461
1459000 103.24
1460000 107.784
1461000 104.962
1462000 105.287
1463000 107.692
1464000 109.305
1465000 110.698
1466000 102.149
1467000 105.687
1468000 108.263
1469000 111.414
1470000 111.139
1471000 112.804
1472000 103.536
1473000 113.41
1474000 106.683
1475000 110.776
1476000 112.083
1477000 108.204
1478000 110.252
1479000 104.267
1480000 101.966
1481000 104.103
1482000 110.03
1483000 108.482
1484000 111.39
1485000 114.604
1486000 113.583
1487000 109.819
1488000 101.6
1489000 111.005
1490000 108.305
1491000 112.971
1492000 116.078
1493000 114.904
1494000 117.733
1495000 118.774
1496000 106.105
1497000 110.113
1498000 112.14
1499000 113.016
1500000 105.288
1501000 107.687
1502000 104.145
1503000 100.43
1504000 89.906
1505000 94.8708
1506000 108.271
1507000 104.629
1508000 103.026
1509000 96.8781
1510000 98.2133
1511000 104.301
1512000 107.764
1513000 109.786
1514000 107.953
1515000 106.278
1516000 105.324
1517000 98.1471
1518000 100.455
1519000 109.679
1520000 104.295
1521000 106.216
1522000 108.956
1523000 105.947
1524000 110.706
1525000 105.495
1526000 108.086
1527000 105.008
1528000 113.445
1529000 108.495
1530000 112.284
1531000 97.1158
1532000 99.8293
1533000 101.169
1534000 106.929
1535000 112.773
1536000 104.1
1537000 100.917
1538000 100.6
1539000 96.6293
1540000 95.3455
1541000 101.225
1542000 99.3827
