# Time-averaged data for fix myfixR2
# TimeStep c_R2[0]
5001000 2.06245
5002000 2.06847
5003000 2.06758
5004000 2.09838
5005000 2.08803
5006000 2.07612
5007000 2.06206
5008000 2.10639
5009000 2.07697
5010000 2.08401
5011000 2.07223
5012000 2.08575
5013000 2.09108
5014000 2.07593
5015000 2.08082
5016000 2.05174
5017000 2.09679
5018000 2.08254
5019000 2.09029
5020000 2.07761
5021000 2.0863
5022000 2.07454
5023000 2.07345
5024000 2.07567
5025000 2.0575
5026000 2.06124
5027000 2.10298
5028000 2.08976
5029000 2.07495
5030000 2.09703
5031000 2.06231
5032000 2.10397
5033000 2.09398
5034000 2.05613
5035000 2.11064
5036000 2.07863
5037000 2.04119
5038000 2.06779
5039000 2.0839
5040000 2.07498
5041000 2.03231
5042000 2.06898
5043000 2.08486
5044000 2.09735
5045000 2.07551
5046000 2.08378
5047000 2.08265
5048000 2.08545
5049000 2.07566
5050000 2.07531
5051000 2.06452
5052000 2.08777
5053000 2.10001
5054000 2.06761
5055000 2.05346
5056000 2.08414
5057000 2.05428
5058000 2.07527
5059000 2.05663
5060000 2.04306
5061000 2.11617
5062000 2.06774
5063000 2.05162
5064000 2.07774
5065000 2.08006
5066000 2.0835
5067000 2.06771
5068000 2.09042
5069000 2.02777
5070000 2.04583
5071000 2.06305
5072000 2.05052
5073000 2.05003
5074000 2.06522
5075000 2.07309
5076000 2.062
5077000 2.072
5078000 2.07604
5079000 2.05324
5080000 2.12575
5081000 2.06005
5082000 2.0549
5083000 2.06673
5084000 2.10585
5085000 2.06833
5086000 2.07121
5087000 2.06588
5088000 2.13189
5089000 2.08683
5090000 2.07883
5091000 2.1065
5092000 2.05549
5093000 2.08483
5094000 2.06917
5095000 2.0668
5096000 2.0658
5097000 2.07168
5098000 2.05809
5099000 2.08468
5100000 2.08951
5101000 2.05264
5102000 2.11235
5103000 2.07361
5104000 2.0952
5105000 2.08283
5106000 2.06057
5107000 2.04613
5108000 2.09915
5109000 2.06939
5110000 2.07064
5111000 2.07307
5112000 2.0545
5113000 2.09062
5114000 2.10064
5115000 2.07818
5116000 2.07503
5117000 2.08419
5118000 2.09312
5119000 2.12309
5120000 2.07566
5121000 2.10449
5122000 2.10546
5123000 2.12455
5124000 2.12614
5125000 2.08821
5126000 2.10626
5127000 2.12671
5128000 2.11028
5129000 2.08212
5130000 2.12559
5131000 2.07551
5132000 2.11415
5133000 2.09374
5134000 2.11257
5135000 2.12739
5136000 2.12692
5137000 2.12018
5138000 2.10642
5139000 2.07447
5140000 2.10231
5141000 2.07506
5142000 2.06563
5143000 2.06556
5144000 2.10073
5145000 2.08024
5146000 2.05931
5147000 2.06887
5148000 2.01351
5149000 2.05537
5150000 2.05721
5151000 2.05433
5152000 2.07909
5153000 2.08125
5154000 2.10516
5155000 2.06329
5156000 2.08092
5157000 2.08024
5158000 2.09215
5159000 2.09469
5160000 2.10349
5161000 2.09445
5162000 2.10109
5163000 2.08002
5164000 2.07769
5165000 2.08802
5166000 2.12458
5167000 2.09302
5168000 2.08836
5169000 2.10072
5170000 2.05238
5171000 2.09209
5172000 2.09004
5173000 2.09408
5174000 2.06575
5175000 2.05854
5176000 2.05723
5177000 2.08745
5178000 2.07897
5179000 2.04597
5180000 2.07961
5181000 2.09921
5182000 2.10884
5183000 2.09824
5184000 2.0798
5185000 2.07345
5186000 2.10591
5187000 2.10188
5188000 2.06208
5189000 2.12652
5190000 2.08797
5191000 2.07639
5192000 2.10014
5193000 2.05898
5194000 2.08874
5195000 2.06463
5196000 2.06618
5197000 2.08352
5198000 2.07448
5199000 2.0782
5200000 2.05759
5201000 2.0844
5202000 2.07835
5203000 2.04476
5204000 2.09389
5205000 2.05512
5206000 2.09468
5207000 2.09834
5208000 2.09769
5209000 2.10495
5210000 2.04152
5211000 2.07209
5212000 2.05335
5213000 2.09802
5214000 2.09251
5215000 2.08808
5216000 2.0675
5217000 2.09949
5218000 2.05789
5219000 2.07015
5220000 2.05812
5221000 2.06529
5222000 2.05409
5223000 2.09061
5224000 2.11789
5225000 2.11284
5226000 2.14088
5227000 2.11516
5228000 2.14026
5229000 2.14092
5230000 2.12537
5231000 2.13872
5232000 2.17489
5233000 2.10084
5234000 2.14465
5235000 2.09734
5236000 2.13685
5237000 2.15174
5238000 2.10668
5239000 2.11582
5240000 2.10951
5241000 2.07667
5242000 2.1759
5243000 2.14224
5244000 2.11281
5245000 2.14181
5246000 2.14631
5247000 2.11047
5248000 2.1586
5249000 2.11252
5250000 2.13198
5251000 2.09474
5252000 2.15551
5253000 2.13805
5254000 2.12789
5255000 2.15341
5256000 2.08152
5257000 2.06037
5258000 2.07858
5259000 2.08873
5260000 2.10284
5261000 2.07661
5262000 2.07309
5263000 2.10914
5264000 2.07365
5265000 2.08767
5266000 2.1178
5267000 2.11317
5268000 2.06095
5269000 2.07337
5270000 2.09406
5271000 2.05438
5272000 2.09545
5273000 2.12884
5274000 2.12032
5275000 2.08524
5276000 2.07364
5277000 2.10988
5278000 2.09651
5279000 2.10994
5280000 2.08704
5281000 2.07686
5282000 2.10882
5283000 2.12337
5284000 2.09874
5285000 2.04943
5286000 2.09018
5287000 2.11127
5288000 2.09977
5289000 2.11283
5290000 2.0963
5291000 2.1108
5292000 2.06332
5293000 2.08273
5294000 2.10263
5295000 2.10039
5296000 2.11454
5297000 2.09552
5298000 2.14351
5299000 2.13771
5300000 2.13739
5301000 2.1547
5302000 2.14563
5303000 2.14896
5304000 2.16489
5305000 2.15016
5306000 2.12988
5307000 2.15814
5308000 2.16184
5309000 2.1827
5310000 2.18681
5311000 2.13597
5312000 2.11621
5313000 2.12478
5314000 2.14111
5315000 2.14187
5316000 2.14176
5317000 2.16467
5318000 2.16821
5319000 2.14832
5320000 2.20099
5321000 2.10776
5322000 2.16037
5323000 2.14666
5324000 2.13409
5325000 2.16267
5326000 2.13992
5327000 2.15113
5328000 2.14484
5329000 2.121
5330000 2.14345
5331000 2.14019
5332000 2.16458
5333000 2.20277
5334000 2.16761
5335000 2.19824
5336000 2.16261
5337000 2.16361
5338000 2.15508
5339000 2.15012
5340000 2.15521
5341000 2.16067
5342000 2.17134
5343000 2.1501
5344000 2.14749
5345000 2.14915
5346000 2.13567
5347000 2.17445
5348000 2.14086
5349000 2.11869
5350000 2.15929
5351000 2.16686
5352000 2.14571
5353000 2.13599
5354000 2.16972
5355000 2.15494
5356000 2.15026
5357000 2.15592
5358000 2.14983
5359000 2.15561
5360000 2.14812
5361000 2.14431
5362000 2.131
5363000 2.2118
5364000 2.12908
5365000 2.20108
5366000 2.12782
5367000 2.17232
5368000 2.12888
5369000 2.14474
5370000 2.17044
5371000 2.14701
5372000 2.1751
5373000 2.17937
5374000 2.17177
5375000 2.1592
5376000 2.20559
5377000 2.17353
5378000 2.18946
5379000 2.17171
5380000 2.14393
5381000 2.18063
5382000 2.16311
5383000 2.19486
5384000 2.16422
5385000 2.15509
5386000 2.17006
5387000 2.14502
5388000 2.16715
5389000 2.17784
5390000 2.1239
5391000 2.17051
5392000 2.14141
5393000 2.16254
5394000 2.15343
5395000 2.14518
5396000 2.16269
5397000 2.1569
5398000 2.16203
5399000 2.17058
5400000 2.16151
5401000 2.17995
5402000 2.17053
5403000 2.18456
5404000 2.16137
5405000 2.14855
5406000 2.14757
5407000 2.16575
5408000 2.16668
5409000 2.16162
5410000 2.18151
5411000 2.20791
5412000 2.1761
5413000 2.15053
5414000 2.16378
5415000 2.16567
5416000 2.17304
5417000 2.17805
5418000 2.16352
5419000 2.1968
5420000 2.19918
5421000 2.15473
5422000 2.17317
5423000 2.15181
5424000 2.14519
5425000 2.17575
5426000 2.15999
5427000 2.1667
5428000 2.15662
5429000 2.17417
5430000 2.18834
5431000 2.15413
5432000 2.17616
5433000 2.20439
5434000 2.1287
5435000 2.18792
5436000 2.20739
5437000 2.18112
5438000 2.15313
5439000 2.14879
5440000 2.17973
5441000 2.19703
5442000 2.11678
5443000 2.14751
5444000 2.16884
5445000 2.17218
5446000 2.15966
5447000 2.17878
5448000 2.13199
5449000 2.14913
5450000 2.18071
5451000 2.1967
5452000 2.1553
5453000 2.1381
5454000 2.16495
5455000 2.16422
5456000 2.13178
5457000 2.16209
5458000 2.15448
5459000 2.15305
5460000 2.12197
5461000 2.165
5462000 2.15899
5463000 2.19013
5464000 2.13
5465000 2.17271
5466000 2.18139
5467000 2.18058
5468000 2.19558
5469000 2.16164
5470000 2.16056
5471000 2.21037
5472000 2.1651
5473000 2.20231
5474000 2.19436
5475000 2.16708
5476000 2.17815
5477000 2.2082
5478000 2.17675
5479000 2.16014
5480000 2.18464
5481000 2.20533
5482000 2.19983
5483000 2.16161
5484000 2.20018
5485000 2.19867
5486000 2.16694
5487000 2.22228
5488000 2.17634
5489000 2.1908
5490000 2.21076
5491000 2.18715
5492000 2.21682
5493000 2.16203
5494000 2.17493
5495000 2.18808
5496000 2.20879
5497000 2.21152
5498000 2.18852
5499000 2.2267
5500000 2.20537
5501000 2.14966
5502000 2.14669
5503000 2.20601
5504000 2.16759
5505000 2.16333
5506000 2.1951
5507000 2.1866
5508000 2.17405
5509000 2.20264
5510000 2.15662
5511000 2.15865
5512000 2.17752
5513000 2.18561
5514000 2.19004
5515000 2.13505
5516000 2.14333
5517000 2.15055
5518000 2.17398
5519000 2.13504
5520000 2.16197
5521000 2.11765
5522000 2.11694
5523000 2.1491
5524000 2.14717
5525000 2.13969
5526000 2.15171
5527000 2.13213
5528000 2.13207
5529000 2.15251
5530000 2.15909
5531000 2.12967
5532000 2.10687
5533000 2.15128
5534000 2.15296
5535000 2.16567
5536000 2.15029
5537000 2.13447
5538000 2.14563
5539000 2.16133
5540000 2.16853
5541000 2.20154
5542000 2.16626
5543000 2.19833
5544000 2.14027
5545000 2.15553
5546000 2.12485
5547000 2.13521
5548000 2.15273
5549000 2.17347
5550000 2.16331
5551000 2.16839
5552000 2.1646
5553000 2.19309
5554000 2.18217
5555000 2.15446
5556000 2.14634
5557000 2.19245
5558000 2.14393
5559000 2.16257
5560000 2.2003
5561000 2.14479
5562000 2.14732
5563000 2.16025
5564000 2.19157
5565000 2.21584
5566000 2.17077
5567000 2.13571
5568000 2.17778
5569000 2.17886
5570000 2.16496
5571000 2.18437
5572000 2.13486
5573000 2.12508
5574000 2.17196
5575000 2.14683
5576000 2.17921
5577000 2.16803
5578000 2.17505
5579000 2.14881
5580000 2.12566
5581000 2.1336
5582000 2.16489
5583000 2.16684
5584000 2.17438
5585000 2.16983
