# Time-averaged data for fix myfixReac
# TimeStep f_4[1] f_4[2] f_4[3] f_4[4]
1247000 40 39.36 43 48
1248000 40 40.31 43 48
1249000 40 41.07 43 48
1250000 40.96 42 43 48
1251000 41 42 43 48.97
1252000 41 42 43 49
1253000 41.23 42.1 43 49
1254000 42 43 43 49
1255000 42 43 43 49.55
1256000 42.65 43 43 50
1257000 43 43 43 50
1258000 43 43.68 43 50
1259000 43 44 43 50
1260000 43 44 43 50.89
1261000 43 44 43 51
1262000 43.07 44 43 51
1263000 44 44.36 43 51
1264000 44 45 43.2 51
1265000 44.76 45 44 51
1266000 45 45 44.4 51
1267000 45 45 45 51
1268000 45 45 45 51
1269000 45 45 45 51
1270000 45 45 45 51
1271000 45 45 45 51.85
1272000 45 45 45 52
1273000 45 45 45 52
1274000 45 45 45 52
1275000 45 45.42 45 52.02
1276000 45 46 45 53
1277000 45 46 45 53
1278000 45 46 45 53
1279000 45 46 45.12 53
1280000 45 46 46 53
1281000 45 46 46.87 53
1282000 45.44 46 47 53
1283000 46 46 47.66 53
1284000 46 46 48 53
1285000 46 46 48.97 53
1286000 46 46 49 53
1287000 46 46 49 53
1288000 46 46 49 53.46
1289000 46 46 49 54
1290000 46 46 49.86 54
1291000 46 46.71 51 54
1292000 46 47 51.13 54
1293000 46 47 52 54.51
1294000 46 47 52 55
1295000 46 47 52 55
1296000 46 47.78 52 55
1297000 46.58 48 52 55
1298000 47 48 52.99 55
1299000 47 48 53 55
1300000 47 48.89 54.35 55.81
1301000 47 49 55 56
1302000 47 49 55 56.89
1303000 47.52 49 55 57
1304000 48 49 55 57.78
1305000 48 49.77 55 58
1306000 48 50 55 58
1307000 48 50 55 58
1308000 48 50 55 58
1309000 48.98 50 55 58
1310000 49 50 55 58
1311000 49.99 50 55.68 58.23
1312000 50 50 56 59
1313000 50 50 56 59
1314000 50 50 56 59
1315000 50 50 56.95 59
1316000 50 50 57 59
1317000 50 50.5 57 59.61
1318000 50 51 57 60
1319000 50 51 57 60.55
1320000 50 51.46 57 61
1321000 50 52 57 61
1322000 50 52 57.21 61.02
1323000 50 52 58 62
1324000 50 52 58 62
1325000 50 52 58 62
1326000 50 52 58 62
1327000 50 52 58.77 62
1328000 50 52 59.56 62
1329000 50 52 60 62
1330000 50 52 60 62
1331000 50 52.55 60 62
1332000 50 53 60 62
1333000 50 53 60 62
1334000 50.7 53 60 62.85
1335000 51.59 53 60 63
1336000 52 53 60 63
1337000 52.31 53 60 63
1338000 53 53 60.13 63
1339000 53 53 61 63
1340000 53 53 61.54 63
1341000 53 53 63 63
1342000 53 53 63.34 63.8
1343000 53 53 64.49 64
1344000 53 53 66 64
1345000 53 53 66 64
1346000 53 53.13 66 64
1347000 53 54 66 64
1348000 53 54.54 66 64
1349000 53.54 55.03 66 65.65
1350000 54 56.27 66 67
1351000 54.04 57 66 67
1352000 55 57 66 67
1353000 55 57 66 67
1354000 55 57.22 66 67
1355000 55.81 58 66 67
1356000 56 58 66 67
1357000 56 58 66 67
1358000 56 58 66 67
1359000 56 58 66.69 67
1360000 56 58 67 67
1361000 56 58 67 67.56
1362000 56 58 67 68
1363000 56 58 67 68
1364000 56 58 67.17 68
1365000 56 58 68 68
1366000 56 58 68 68
1367000 56 58 68 68
1368000 56 58 68 68
1369000 56.98 58 68 68
1370000 57 58 68 68.08
1371000 57 58 68 69
1372000 57 58.26 68 69.15
1373000 57 59.4 68 70
1374000 57.18 60 68 70
1375000 58 60 68 70
1376000 58 60 68.84 70
1377000 58 61.03 69 70
1378000 58 62 69 70
1379000 58.98 62 69 70
1380000 59 62.2 69.88 70
1381000 59 63 71 70
1382000 59 63 71 70
1383000 59.81 63 71.86 70
1384000 60 63 73 70
1385000 60 63 73 70
1386000 60 63 73 70
1387000 60 63 73.95 70
1388000 60.68 63 74 70
1389000 61 63 74 70
1390000 61.4 63 74 70.15
1391000 62.71 63 74 71.33
1392000 63 63.04 74 72.25
1393000 63 64 74 73
1394000 63 64 74 73
1395000 63 64 74.05 73
1396000 63 64 75.27 73
1397000 63.4 64 76.75 73
1398000 64 64 78.85 73.41
1399000 64 64 79 74
1400000 64 64 79.97 74
1401000 64 64 80 74
1402000 64 64 80 74
1403000 64 64.22 80 74
1404000 64 65 80.43 74
1405000 64 65 81 74
1406000 64 65 81 74
1407000 64.32 65.79 81 74
1408000 65 66 81 74
1409000 65 66 81 74
1410000 65 66 81 74
1411000 65 66.68 81 74
1412000 65 68 81 75.79
1413000 65 68 81 76
1414000 65 68 81 76.11
1415000 65 68 81.62 77
1416000 65 68 82 77
1417000 65 68 82.16 77
1418000 65 68 83 77
1419000 65 68 83 77.19
1420000 65 68 83.24 78.72
1421000 66.81 68 84 79
1422000 67 68 84 79
1423000 67.8 68 84 79
1424000 68 68 84 79
