# Time-averaged data for fix myFixMSD2
# TimeStep c_myMSD[1] c_myMSD[2] c_myMSD[3] c_myMSD[4]
0 0 0 0 0
10000 29.7428 30.9433 29.5255 90.2116
20000 34.1477 35.551 34.4268 104.125
30000 37.0986 38.9701 37.7666 113.835
40000 39.4649 41.9478 40.3868 121.8
50000 41.3321 44.0766 42.6774 128.086
60000 42.8386 45.9274 44.6724 133.438
70000 44.9131 48.364 46.371 139.648
80000 46.5843 49.6614 48.2128 144.459
90000 48.3534 51.2006 49.1321 148.686
100000 49.8398 53.0599 51.2861 154.186
110000 51.6599 54.1078 52.9077 158.675
120000 53.0907 55.1433 54.3221 162.556
130000 55.1922 56.6815 56.0653 167.939
140000 57.143 57.2929 57.7118 172.148
150000 58.4938 58.7837 59.1343 176.412
160000 59.6988 61.4336 59.5695 180.702
170000 60.4881 62.9065 60.8006 184.195
180000 61.9032 64.3173 62.0448 188.265
190000 63.2883 65.0126 63.097 191.398
200000 64.1122 66.4207 64.1784 194.711
210000 65.4248 67.1723 65.0435 197.641
220000 66.6174 68.5042 66.5455 201.667
230000 67.357 69.9612 67.7641 205.082
240000 67.2945 71.2743 68.8857 207.455
250000 68.1695 73.0009 69.7007 210.871
260000 69.2123 73.5927 70.6922 213.497
270000 69.6256 75.0829 72.0492 216.758
280000 70.1411 75.4946 72.834 218.47
290000 71.371 76.8436 74.393 222.608
300000 72.7642 78.0449 75.0529 225.862
310000 74.1372 78.8783 75.683 228.699
320000 74.6134 79.73 75.949 230.292
330000 74.698 80.5339 76.5249 231.757
340000 75.0395 81.3131 78.6687 235.021
350000 75.5437 82.0009 79.4312 236.976
360000 76.5076 82.5873 80.1178 239.213
370000 78.0782 84.1695 80.786 243.034
380000 78.7804 85.1869 82.3193 246.287
390000 79.7553 84.7577 83.1144 247.627
400000 80.6664 86.0086 83.1636 249.839
410000 81.5422 86.0516 84.1277 251.721
420000 82.8323 86.8376 85.1673 254.837
430000 83.2588 88.7624 85.5807 257.602
440000 83.9911 88.8673 86.0079 258.866
450000 83.7241 89.5008 87.3269 260.552
460000 84.3353 90.3916 87.9417 262.669
470000 85.444 91.6634 88.458 265.565
480000 87.9779 92.0298 89.3918 269.399
490000 89.393 93.3945 90.3246 273.112
500000 90.2046 94.3195 91.905 276.429
510000 92.0935 94.9215 94.178 281.193
520000 93.1447 95.8169 95.2738 284.235
530000 94.1354 97.3192 95.4662 286.921
540000 94.7544 97.8436 95.8208 288.419
550000 94.5293 99.3736 95.7211 289.624
560000 94.924 100.321 95.69 290.935
570000 94.7331 101.003 97.4638 293.2
580000 95.4297 101.416 97.6778 294.524
590000 95.5004 101.976 98.1013 295.577
600000 96.4822 102.578 98.783 297.843
610000 97.3391 103.371 99.0842 299.794
620000 98.5702 104.575 99.5253 302.671
630000 98.5781 104.908 99.6651 303.151
640000 99.4615 104.813 99.3565 303.631
650000 99.2302 104.891 100.403 304.523
660000 99.8732 104.417 101.621 305.911
670000 100.03 105.369 102.47 307.869
680000 100.909 106.697 103.205 310.811
690000 101.818 107.748 103.718 313.283
700000 103.252 107.82 103.851 314.924
710000 103.669 108.624 103.685 315.977
720000 105.367 109.413 104.128 318.909
730000 106.793 108.995 104.889 320.677
740000 107.114 109.724 106.316 323.155
750000 107.093 109.206 107.056 323.355
760000 107.392 109.212 108.15 324.754
770000 107.213 109.123 109.037 325.373
780000 108.215 109.708 108.77 326.693
