# Time-averaged data for fix myFixMSD2
# TimeStep c_myMSD[1] c_myMSD[2] c_myMSD[3] c_myMSD[4]
0 0 0 0 0
10000 16.9324 17.7124 17.8316 52.4763
20000 31.4081 33.7398 33.1764 98.3243
30000 42.3702 49.0039 47.6483 139.022
40000 58.0961 63.1342 59.7908 181.021
50000 68.7161 76.9419 72.4737 218.132
60000 76.3718 90.4892 87.774 254.635
70000 88.3102 103.157 98.8968 290.364
80000 97.2986 109.639 108.582 315.52
90000 111.444 117.962 122.128 351.535
100000 121.544 122.732 134.852 379.128
110000 128.313 129.459 146.371 404.143
120000 137.396 141.229 155.897 434.523
130000 144.57 148.077 162.134 454.78
140000 157.314 159.927 168.983 486.225
150000 163.076 171.368 180.204 514.649
160000 169.503 178.295 186.563 534.361
170000 178.528 189.673 194.31 562.51
180000 185.336 193.098 202.491 580.925
190000 192.394 197.822 217.106 607.322
200000 199.48 204.49 226.529 630.499
210000 207.203 214.859 232.188 654.251
220000 215.464 224.981 241.384 681.829
230000 230.209 231.331 248.002 709.543
240000 232.077 237.396 250.466 719.939
250000 237.764 246.692 254.213 738.669
260000 240.781 248.74 262.424 751.944
270000 247.274 249.53 267.327 764.131
280000 252.435 258.083 266.004 776.522
290000 258.143 258.247 270.844 787.233
300000 268.971 264.121 284.927 818.018
310000 272.661 272.879 289.567 835.108
320000 275.873 282.932 297.906 856.712
330000 282.334 283.268 304.367 869.969
340000 281.449 276.986 309.215 867.65
350000 284.73 281.226 319.602 885.558
360000 286.184 282.167 324.005 892.356
370000 290.559 282.624 328.216 901.4
380000 297.273 289.03 336.659 922.963
390000 302.709 296.912 337.37 936.991
400000 307.837 301.916 349.581 959.334
410000 312.188 303.312 354.428 969.927
420000 309.264 310.811 362.693 982.768
430000 320.026 310.653 368.56 999.239
440000 324.7 320.073 375.089 1019.86
450000 331.618 327.491 377.038 1036.15
460000 331.927 330.818 380.315 1043.06
470000 334.581 339.014 388.592 1062.19
480000 337.923 353.443 396.451 1087.82
490000 340.689 367.915 392.017 1100.62
500000 344.927 378.755 389.094 1112.78
510000 343.166 381.797 395.194 1120.16
520000 351.976 381.879 402.212 1136.07
530000 359.053 385.581 415.865 1160.5
540000 360.033 392.743 422.655 1175.43
550000 366.003 395.291 435.369 1196.66
560000 372.22 400.521 444.38 1217.12
570000 369.713 402.656 445.199 1217.57
580000 377.475 406.348 453.328 1237.15
590000 386.107 410.213 469.23 1265.55
600000 393.737 412.768 476.825 1283.33
610000 403.194 407.595 482.42 1293.21
620000 398.213 416.211 484.829 1299.25
630000 405.542 426.121 488.115 1319.78
640000 411.582 421.646 491.021 1324.25
650000 412.515 427.312 498.334 1338.16
660000 420.547 433.87 501.653 1356.07
670000 434.038 438.152 510.262 1382.45
680000 439.113 447.242 513.203 1399.56
690000 446.306 450.672 510.605 1407.58
700000 447.086 457.992 521.875 1426.95
710000 459.917 461.256 534.226 1455.4
720000 466.261 467.239 537.413 1470.91
730000 474.229 466.021 542.554 1482.8
740000 480.317 471.113 551.602 1503.03
750000 489.814 476.005 559.952 1525.77
760000 494.9 479.091 565.073 1539.06
770000 512.761 484.992 567.353 1565.11
780000 519.19 488.898 580.677 1588.76
790000 525.134 497.243 576.454 1598.83
800000 523.45 503.596 572.932 1599.98
810000 531.944 499.479 577.449 1608.87
820000 537.73 512.608 582.066 1632.4
830000 538.097 513.664 588.392 1640.15
840000 536.272 519.182 586.505 1641.96
850000 540.689 530.388 595.933 1667.01
860000 546.962 533.057 594.731 1674.75
870000 559.072 540.197 596.758 1696.03
880000 570.387 543.296 602.707 1716.39
890000 581.112 542.272 596.565 1719.95
900000 590.206 544.995 604.226 1739.43
