# Time-averaged data for fix myFixMSD2
# TimeStep c_myMSD[1] c_myMSD[2] c_myMSD[3] c_myMSD[4]
0 0 0 0 0
10000 17.3123 18.2509 21.3162 56.8794
20000 29.7624 30.4424 37.2277 97.4325
30000 42.4493 39.9867 47.4363 129.872
40000 54.4899 50.4638 59.5724 164.526
50000 62.8003 58.3936 68.3569 189.551
60000 70.1966 67.0427 76.747 213.986
70000 79.9764 74.747 82.8269 237.55
80000 87.552 82.3992 87.9836 257.935
90000 94.6685 87.8358 97.6011 280.105
100000 101.147 93.7859 105.075 300.007
110000 107.769 95.9944 109.63 313.394
120000 117.53 102.326 118.045 337.901
130000 123.115 106.746 120.064 349.925
140000 122.987 110.824 124.859 358.67
150000 129.263 113.951 130.311 373.524
160000 130.898 117.376 131.171 379.445
170000 137.462 120.379 134.782 392.623
180000 139.606 119.934 139.253 398.794
190000 142.811 123.875 141.391 408.078
200000 145.928 125.537 145.584 417.049
210000 150.537 128.511 154.23 433.278
220000 160.335 128.529 156.224 445.088
230000 165.822 129.886 158.524 454.233
240000 167.75 135.329 158.958 462.037
250000 173.052 137.373 161.557 471.983
260000 174.432 141.193 161.637 477.261
270000 177.06 147.771 163.241 488.072
280000 178.926 151.908 167.184 498.018
290000 181.674 154.082 167.63 503.386
300000 181.303 160.208 173.305 514.816
310000 186.377 169.815 179.526 535.718
320000 189.467 166.692 185.94 542.099
330000 195.33 169.036 193.141 557.508
340000 200.381 173.319 195.363 569.063
350000 200.442 176.982 198.264 575.688
360000 202.811 182.039 204.881 589.731
370000 204.727 184.066 204.337 593.13
380000 210.364 189.191 206.265 605.82
390000 212.389 188.092 212.551 613.031
400000 213.327 187.805 215.129 616.261
410000 213.09 190.21 217.189 620.488
420000 212.373 191.884 228.745 633.002
430000 211.466 196.518 232.885 640.868
440000 213.624 201.055 241.568 656.247
450000 219.966 204.281 236.337 660.584
460000 230.332 210.105 238.406 678.842
470000 235.673 216.732 241.127 693.532
480000 246.158 220.296 243.633 710.087
490000 244.429 223.064 241.73 709.223
500000 249.723 225.354 244.053 719.13
510000 257.61 224.678 246.967 729.255
520000 253.406 224.22 249.044 726.67
530000 258.132 228.279 252.197 738.607
540000 260.617 237.359 254.117 752.092
550000 262.198 241.651 250.562 754.411
560000 265.457 244.746 247.483 757.685
570000 267.942 252.674 253.192 773.808
580000 270.881 256.962 253.266 781.109
590000 267.479 258.991 256.069 782.539
600000 269.375 268.715 256.214 794.304
610000 271.118 271.328 257.252 799.699
620000 266.928 270.081 260.673 797.682
630000 270.158 271.403 265.967 807.528
640000 276.515 273.843 273.155 823.513
650000 275.063 273.575 270.74 819.378
660000 285.314 273.8 267.72 826.835
670000 283.126 277.671 276.535 837.331
680000 284.428 279.679 278.998 843.105
690000 285.255 286.248 276.124 847.626
700000 294.472 289.722 276.789 860.983
710000 293.459 290.194 284.389 868.042
720000 295.682 295.998 288.126 879.806
730000 291.521 298.118 286.717 876.356
740000 288.387 299.1 289.585 877.072
750000 285.224 304.272 291.729 881.225
760000 290.124 311.414 293.802 895.34
770000 292.839 312.076 292.803 897.718
780000 288.265 317.009 294.691 899.966
790000 295.713 317.847 296.872 910.431
800000 301.232 319.393 296.114 916.74
810000 307.11 323.594 299.674 930.378
820000 316.991 321.084 293.864 931.939
830000 325.406 327.989 300.648 954.043
840000 328.735 329.973 300.044 958.753
850000 326.645 330.547 302.42 959.612
860000 326.702 336.797 306.754 970.254
870000 327.273 342.575 311.575 981.423
880000 325.385 349.548 313.629 988.561
890000 323.846 347.219 310.538 981.602
900000 331.06 347.694 318.394 997.149
910000 338.235 348.422 320.58 1007.24
920000 343.936 356.859 322.667 1023.46
930000 351.602 358.191 328.644 1038.44
940000 356.968 356.336 331.917 1045.22
950000 361.959 354.632 334.791 1051.38
960000 365.52 352.98 330.807 1049.31
970000 365.11 366.933 326.521 1058.56
980000 366.866 368.91 325.403 1061.18
990000 366.344 366.822 332.381 1065.55
1000000 365.458 357.403 338.765 1061.63
1010000 366.752 360.591 342.613 1069.96
1020000 361.68 358.129 343.307 1063.12
1030000 364.333 361.056 353.759 1079.15
1040000 368.419 365.526 360.407 1094.35
1050000 373.459 366.239 360.749 1100.45
1060000 377.662 373.552 361.73 1112.94
1070000 383.61 371.329 358.899 1113.84
1080000 394.378 367.949 358.569 1120.9
1090000 394.665 369.91 365.585 1130.16
1100000 395.879 370.728 363.707 1130.31
1110000 388.352 374.578 370.593 1133.52
1120000 395.141 376.591 376.36 1148.09
1130000 392.229 371.575 378.04 1141.84
1140000 390.649 377.104 376.802 1144.55
1150000 396.943 384.107 378.163 1159.21
1160000 396.123 387.679 374.457 1158.26
